Country,Year,Value,Disease
NAM,2019.0,88.0,Existence of operational policy/strategy/action plan for cancer
ALB,2017.0,0.0,Infant mortality rate (deaths per 1000 live births)
PER,2013.0,0.0,Infant mortality rate (deaths per 1000 live births)
PER,2014.0,0.0,Infant mortality rate (deaths per 1000 live births)
PER,2015.0,0.0,Infant mortality rate (deaths per 1000 live births)
PER,2016.0,0.0,Infant mortality rate (deaths per 1000 live births)
PRY,2016.0,0.0,Infant mortality rate (deaths per 1000 live births)
AFG,2010.0,3.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2011.0,2.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2012.0,1.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2013.0,5.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2014.0,8.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2015.0,7.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2016.0,8.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2017.0,18.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2018.0,18.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2019.0,24.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2020.0,26.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2021.0,38.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2022.0,31.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2023.0,29.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AFG,2024.0,21.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AGO,2010.0,3652.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AGO,2011.0,2584.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AGO,2012.0,3175.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AGO,2013.0,5668.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AGO,2014.0,8848.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AGO,2015.0,8398.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AGO,2016.0,7613.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AGO,2017.0,7088.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AGO,2018.0,9633.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2010.0,0.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2011.0,0.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2012.0,1.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2013.0,2.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2014.0,1.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2015.0,3.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2016.0,2.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2017.0,2.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2018.0,1.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2019.0,3.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2020.0,1.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2021.0,4.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2022.0,8.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2023.0,6.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ALB,2024.0,6.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2010.0,16.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2011.0,15.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2012.0,13.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2013.0,19.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2014.0,27.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2015.0,29.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2016.0,37.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2017.0,33.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2018.0,46.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2019.0,49.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2020.0,46.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2021.0,47.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2022.0,50.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2023.0,58.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
ARM,2024.0,63.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2010.0,11.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2011.0,17.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2012.0,23.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2013.0,35.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2014.0,46.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2015.0,56.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2016.0,70.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2017.0,67.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2018.0,56.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2019.0,83.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2020.0,63.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2021.0,53.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2022.0,48.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2023.0,53.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
AZE,2024.0,53.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2010.0,2617.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2011.0,2670.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2012.0,2737.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2013.0,3084.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2014.0,3499.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2015.0,3885.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2016.0,4518.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2017.0,4187.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2018.0,3986.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2019.0,3623.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2020.0,3101.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2021.0,2395.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2022.0,2264.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2023.0,1899.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BDI,2024.0,1702.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2010.0,846.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2011.0,1115.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2012.0,1281.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2013.0,1187.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2014.0,2099.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2015.0,4480.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2016.0,4965.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2017.0,4360.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2018.0,4765.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2019.0,3762.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2020.0,3950.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2021.0,3474.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2022.0,3699.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2023.0,3523.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BEN,2024.0,3477.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2010.0,2792.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2011.0,3098.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2012.0,3228.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2013.0,3369.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2014.0,4285.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2015.0,3000.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2016.0,3265.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2017.0,3530.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2018.0,3795.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2019.0,4061.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2020.0,4326.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2021.0,4591.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2022.0,4602.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2023.0,3674.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BFA,2024.0,3402.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2010.0,19.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2011.0,9.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2012.0,16.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2013.0,18.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2014.0,25.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2015.0,21.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2016.0,22.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2017.0,25.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2018.0,36.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2019.0,29.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2020.0,18.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2021.0,38.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2022.0,25.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2023.0,18.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGD,2024.0,18.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2010.0,10.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2011.0,14.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2012.0,18.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2013.0,20.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2014.0,23.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2015.0,24.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2016.0,23.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2017.0,12.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2019.0,5.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2021.0,8.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2022.0,17.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2023.0,10.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BGR,2024.0,8.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BHR,2017.0,1.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BHR,2023.0,2.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BHR,2024.0,1.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2010.0,53.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2011.0,67.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2012.0,66.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
BLZ,2013.0,46.0,Number of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission
